,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,familysize
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,1
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,1
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,2
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,6
64,0,1,male,28.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,1
65,1,3,male,28.0,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,3
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,1
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,1
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,7
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,3
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,8
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,1
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,2
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,1
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,1
76,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
77,0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,3
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,1
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,1
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,1
82,1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,1
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,1
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,1
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,4
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,5
87,0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,6
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,1
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,2
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,4
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,1
95,0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,1
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,2
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,2
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,2
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,1
101,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,2
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,1
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,3
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,1
107,1,3,male,28.0,0,0,7.775,S,Third,man,True,,Southampton,yes,True,1
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
109,1,3,female,28.0,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,2
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,1
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,2
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,2
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,1
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,1
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,2
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,2
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,7
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,3
121,0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,2
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,1
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,2
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,2
126,0,3,male,28.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,1
128,1,3,female,28.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,3
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,1
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,1
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,1
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,2
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,2
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,1
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,3
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,2
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,1
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,1
140,0,3,female,28.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,3
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,1
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,2
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,1
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,1
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,3
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,1
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,5
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,3
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,1
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,2
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,3
154,0,3,male,28.0,0,0,7.3125,S,Third,man,True,,Southampton,no,True,1
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,2
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,1
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
158,0,3,male,28.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,1
159,0,3,male,28.0,8,2,69.55,S,Third,man,True,,Southampton,no,False,11
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,2
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,1
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,1
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,1
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,6
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,3
166,1,1,female,28.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,2
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,6
168,0,1,male,28.0,0,0,25.925,S,First,man,True,,Southampton,no,True,1
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,1
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,1
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,6
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,3
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,1
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,1
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,3
176,0,3,male,28.0,3,1,25.4667,S,Third,man,True,,Southampton,no,False,5
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,1
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,1
180,0,3,female,28.0,8,2,69.55,S,Third,woman,False,,Southampton,no,False,11
181,0,2,male,28.0,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,1
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,7
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,4
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,3
185,0,1,male,28.0,0,0,50.0,S,First,man,True,A,Southampton,no,True,1
186,1,3,female,28.0,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,2
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,1
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,3
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,1
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,2
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,3
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,1
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,1
196,0,3,male,28.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,2
198,1,3,female,28.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,1
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,1
201,0,3,male,28.0,8,2,69.55,S,Third,man,True,,Southampton,no,False,11
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,1
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,1
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,1
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,2
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,2
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,1
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,1
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,1
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,1
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,1
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1
214,0,3,male,28.0,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,2
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,2
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,1
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,2
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,1
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,1
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
223,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,2
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,1
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,1
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,1
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1
229,0,3,female,28.0,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,5
230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,2
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,1
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,1
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,7
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1
235,0,3,female,28.0,0,0,7.55,S,Third,woman,False,,Southampton,no,True,1
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,2
237,1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,3
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True,1
240,0,3,female,28.0,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False,2
241,1,3,female,28.0,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,2
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,1
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,1
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,3
246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,1
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False,3
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,3
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,2
250,0,3,male,28.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,1
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,3
252,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,1
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,2
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False,3
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False,3
256,1,1,female,28.0,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True,1
257,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,1
258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True,1
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False,2
260,0,3,male,28.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,7
262,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,3
263,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,1
264,0,3,female,28.0,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,1
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,6
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False,2
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,2
269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,1
270,0,1,male,28.0,0,0,31.0,S,First,man,True,,Southampton,no,True,1
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True,1
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,2
273,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,2
274,1,3,female,28.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,2
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True,1
277,0,2,male,28.0,0,0,0.0,S,Second,man,True,,Southampton,no,True,1
278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,6
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False,3
280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,1
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,1
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,1
284,0,1,male,28.0,0,0,26.0,S,First,man,True,A,Southampton,no,True,1
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,1
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,1
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,1
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
290,1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True,1
291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,2
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,1
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True,1
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
295,0,1,male,28.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,1
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,1
297,0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,4
298,1,1,male,28.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True,1
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,2
300,1,3,female,28.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
301,1,3,male,28.0,2,0,23.25,Q,Third,man,True,,Queenstown,yes,False,3
302,0,3,male,19.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,1
303,1,2,female,28.0,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True,1
304,0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1
305,1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False,4
306,1,1,female,28.0,0,0,110.8833,C,First,woman,False,,Cherbourg,yes,True,1
307,1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False,2
308,0,2,male,30.0,1,0,24.0,C,Second,man,True,,Cherbourg,no,False,2
309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True,1
310,1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True,1
311,1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,5
312,0,2,female,26.0,1,1,26.0,S,Second,woman,False,,Southampton,no,False,3
313,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
314,0,2,male,43.0,1,1,26.25,S,Second,man,True,,Southampton,no,False,3
315,1,3,female,26.0,0,0,7.8542,S,Third,woman,False,,Southampton,yes,True,1
316,1,2,female,24.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,2
317,0,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True,1
318,1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False,3
319,1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False,3
320,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,1
321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1
322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,,Queenstown,yes,True,1
323,1,2,female,22.0,1,1,29.0,S,Second,woman,False,,Southampton,yes,False,3
324,0,3,male,28.0,8,2,69.55,S,Third,man,True,,Southampton,no,False,11
325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True,1
